time,instrument,price,signal,strike,score,confidence,regime,manual_guidance,signal_valid_till,blockers,cautions,score_factors,reason,strike_reason
2026-04-08 04:55:00.644667,NIFTY,23862.95,NO_TRADE,,65,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_below_vwap, bearish_oi_bias, bearish_build_up, bearish_pressure, strong_volume",Trade not allowed (time filter) | score=65,
2026-04-08 05:00:00.657381,NIFTY,23877.85,NO_TRADE,,55,LOW,OPENING_EXPANSION,WAIT,,no_valid_setup,opening_session,"price_below_vwap, bearish_oi_trend, bearish_pressure, strong_volume",No valid setup | score=55,
2026-04-08 05:05:00.488956,NIFTY,23879.95,NO_TRADE,,50,LOW,OPENING_EXPANSION,WAIT,,no_valid_setup,"opening_session, opposite_pressure","bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, strong_volume",No valid setup | score=50,
2026-04-08 05:10:01.249235,NIFTY,23913.9,NO_TRADE,,48,LOW,TRENDING,WAIT,,no_valid_setup,"opening_session, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",No valid setup | score=48,
2026-04-08 05:15:00.267302,NIFTY,23920.15,NO_TRADE,,58,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",No valid setup | score=58,
2026-04-08 05:20:00.332303,NIFTY,23940.95,CE,23900,73,MEDIUM,TRENDING,REDUCE SIZE,2026-04-08 09:54:00+05:30,,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",High-score bullish continuation | score=73,ITM because volume or pressure confirmation is not strong enough
2026-04-08 05:25:01.016702,NIFTY,23922.45,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=38,
2026-04-08 05:30:00.292009,NIFTY,23896.9,NO_TRADE,,68,MEDIUM,CHOPPY,HIGH RISK,,direction_present_but_filters_incomplete,near_support,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",Directional context present but filters incomplete | score=68,
2026-04-08 05:35:00.479729,NIFTY,23900.4,NO_TRADE,,48,LOW,CHOPPY,HIGH RISK,,no_valid_setup,near_support,"price_below_vwap, bearish_oi_trend, bearish_pressure, atm_ce_concentration, normal_volume",No valid setup | score=48,
2026-04-08 06:00:00.463777,NIFTY,23909.85,NO_TRADE,,48,LOW,CHOPPY,HIGH RISK,,no_valid_setup,"near_support, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",Reconnect cooldown active (2 bars left) | score=48,
2026-04-08 06:05:00.645265,NIFTY,23922.05,NO_TRADE,,58,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Reconnect cooldown active (1 bars left) | score=58,
2026-04-08 06:10:00.281913,NIFTY,23921.65,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=38,
2026-04-08 06:15:02.795986,NIFTY,23951.65,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 06:20:00.227881,NIFTY,23940.1,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",No valid setup | score=53,
2026-04-08 06:25:00.924170,NIFTY,23969.75,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 06:30:00.776363,NIFTY,23983.45,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 06:35:00.914031,NIFTY,23993.3,NO_TRADE,,65,MEDIUM,RANGING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body","far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up",Reconnect cooldown active (2 bars left) | score=65,
2026-04-08 06:55:00.793112,NIFTY,24002.95,NO_TRADE,,65,MEDIUM,CHOPPY,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up",Reconnect cooldown active (2 bars left) | score=65,
2026-04-08 07:00:02.517444,NIFTY,23982.75,NO_TRADE,,58,LOW,TRENDING,HIGH RISK,,no_valid_setup,"far_from_vwap, near_resistance","bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",Reconnect cooldown active (1 bars left) | score=58,
2026-04-08 07:05:00.056121,NIFTY,23968.3,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",No valid setup | score=53,
2026-04-08 07:20:00.109962,NIFTY,23986.5,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,no_valid_setup,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, atm_pe_concentration",Reconnect cooldown active (2 bars left) | score=45,
2026-04-08 07:25:00.467725,NIFTY,23949.35,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",Reconnect cooldown active (1 bars left) | score=53,
2026-04-08 07:40:00.058119,NIFTY,23971.0,NO_TRADE,,35,LOW,RANGING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up",Reconnect cooldown active (2 bars left) | score=35,
2026-04-08 07:45:00.877152,NIFTY,23963.45,NO_TRADE,,60,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, strong_volume",Reconnect cooldown active (1 bars left) | score=60,
2026-04-08 07:50:00.336195,NIFTY,23963.45,NO_TRADE,,60,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, strong_volume",Directional context present but filters incomplete | score=60,
2026-04-08 07:55:00.744235,NIFTY,23972.45,NO_TRADE,,70,MEDIUM,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, strong_volume",Directional context present but filters incomplete | score=70,
2026-04-08 08:10:01.001533,NIFTY,23922.0,NO_TRADE,,75,MEDIUM,TRENDING,WAIT,,,,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, strong_volume",Reconnect cooldown active (2 bars left) | score=75,
2026-04-08 08:15:00.689575,NIFTY,23948.5,NO_TRADE,,63,LOW,CHOPPY,HIGH RISK,,direction_present_but_filters_incomplete,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, normal_volume",Reconnect cooldown active (1 bars left) | score=63,
2026-04-08 08:35:00.957143,NIFTY,23968.8,NO_TRADE,,65,MEDIUM,RANGING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up",Reconnect cooldown active (2 bars left) | score=65,
2026-04-08 08:40:01.985389,NIFTY,23961.85,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",Reconnect cooldown active (1 bars left) | score=53,
2026-04-08 08:45:00.561780,NIFTY,23974.3,NO_TRADE,,43,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, normal_volume",No valid setup | score=43,
2026-04-08 08:50:02.258115,NIFTY,23973.9,NO_TRADE,,58,LOW,TRENDING,HIGH RISK,,no_valid_setup,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",No valid setup | score=58,
2026-04-08 08:55:00.360884,NIFTY,23984.7,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:00:00.135987,NIFTY,23999.45,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:05:02.045792,NIFTY,23994.15,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:10:00.352395,NIFTY,24015.5,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:15:00.652904,NIFTY,23975.4,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:20:00.696080,NIFTY,23975.75,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body, breakout_structure_weak",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 09:25:00.477374,NIFTY,23964.05,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",No valid setup | score=53,
2026-04-08 09:30:01.364413,NIFTY,23986.05,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:35:00.629295,NIFTY,23967.35,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",No valid setup | score=53,
2026-04-08 09:40:02.775840,NIFTY,23965.65,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",No valid setup | score=53,
2026-04-08 09:45:00.881363,NIFTY,23950.6,NO_TRADE,,68,MEDIUM,CHOPPY,HIGH RISK,,direction_present_but_filters_incomplete,,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",Directional context present but filters incomplete | score=68,
2026-04-08 09:50:00.877632,NIFTY,23965.6,NO_TRADE,,73,MEDIUM,CHOPPY,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:55:01.521964,NIFTY,23976.85,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 10:00:00.488317,NIFTY,23979.55,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body, breakout_structure_weak",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 10:05:02.053665,NIFTY,23977.55,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 10:10:00.820793,NIFTY,23979.2,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
